Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFMClass,Segment
12550,74,1,964.83,3,1,3,313,Potential Loyalist
12551,353,1,168,2,1,1,211,Lost
12552,34,2,437.82,4,2,2,422,Recent Customers
12553,3,12,4608.75,5,5,5,555,Champions
12554,444,1,468.5,1,1,2,112,Lost
12555,677,1,129.23,1,1,1,111,Lost
12556,46,2,603.71,4,2,2,422,Recent Customers
12557,11,8,18716.14,5,4,5,545,Champions
12558,3,1,269.96,5,1,1,511,Recent Customers
12559,306,2,561.71,2,2,2,222,Lost
12560,107,2,1436.31,3,2,4,324,Potential Loyalist
12561,298,1,238.85,2,1,1,211,Lost
12562,3,9,4966.92,5,5,5,555,Champions
12563,404,1,249.24,2,1,1,211,Lost
12564,256,1,456.9,2,1,2,212,Lost
12565,284,1,145.92,2,1,1,211,Lost
12566,81,1,351.65,3,1,2,312,Potential Loyalist
12567,18,15,13709.86,5,5,5,555,Champions
12568,640,1,70,1,1,1,111,Lost
12569,3,28,3704.86,5,5,5,555,Champions
12570,677,1,77.52,1,1,1,111,Lost
12571,35,2,519.61,4,2,2,422,Recent Customers
12572,4,2,1020.42,5,2,3,523,Recent Customers
12573,222,5,717.41,2,4,3,243,At Risk
12574,311,1,218.45,2,1,1,211,Lost
12575,453,2,622.82,1,2,3,123,Lost
12576,31,8,2142.72,4,4,4,444,Champions
12577,30,8,1653.75,4,4,4,444,Champions
12578,16,4,4642.45,5,3,5,535,Loyal Customers
12579,73,1,440.42,3,1,2,312,Potential Loyalist
12580,242,2,1052.9,2,2,3,223,Lost
12581,35,1,197.71,4,1,1,411,Recent Customers
12582,234,4,1980.4,2,3,4,234,At Risk
12583,14,26,13752.67,5,5,5,555,Champions
12584,13,8,2137.7,5,4,4,544,Champions
12585,229,2,2040.1,2,2,4,224,Lost
12586,12,4,2062.67,5,3,4,534,Loyal Customers
12587,3,1,144,5,1,1,511,Recent Customers
12588,34,4,958.78,4,3,3,433,Loyal Customers
12589,24,8,4695.66,4,4,5,445,Champions
12590,206,2,9864.26,2,2,5,225,Lost
12591,312,3,1352.15,2,3,4,234,At Risk
12592,87,5,2582.66,3,4,4,344,Loyal Customers
12593,104,3,418.1,3,3,2,332,Potential Loyalist
12594,33,15,5090.11,4,5,5,455,Champions
12595,500,1,299.02,1,1,2,112,Lost
12596,47,2,618.27,4,2,3,423,Recent Customers
12597,14,4,3811.22,5,3,5,535,Loyal Customers
12598,5,11,4534.09,5,5,5,555,Champions
12599,24,13,2296.72,4,5,4,454,Champions
12600,24,21,5043.92,4,5,5,455,Champions
12601,185,6,681.26,3,4,3,343,Loyal Customers
12602,54,1,153.12,4,1,1,411,Recent Customers
12603,17,1,739.2,5,1,3,513,Recent Customers
12604,74,2,254.18,3,2,1,321,Potential Loyalist
12605,371,4,1232.95,2,3,4,234,At Risk
12606,677,1,21,1,1,1,111,Lost
12607,55,1,1579.51,4,1,4,414,Recent Customers
12608,400,1,415.79,2,1,2,212,Lost
12609,73,9,3435.86,3,5,5,355,Loyal Customers
12610,18,5,2099.54,5,4,4,544,Champions
12611,48,1,1193.32,4,1,3,413,Recent Customers
12612,69,1,704.04,3,1,3,313,Potential Loyalist
12613,52,10,6835.07,4,5,5,455,Champions
12614,273,1,315.6,2,1,2,212,Lost
12615,32,7,5318.13,4,4,5,445,Champions
12616,90,3,1131.1,3,3,3,333,Loyal Customers
12617,24,1,355.53,4,1,2,412,Recent Customers
12618,17,1,177.31,5,1,1,511,Recent Customers
12619,11,10,3781.38,5,5,5,555,Champions
12620,10,3,1339.41,5,3,4,534,Loyal Customers
12621,19,34,23587.61,5,5,5,555,Champions
12622,227,1,180.1,2,1,1,211,Lost
12623,271,7,3747.84,2,4,5,245,At Risk
12624,101,2,641.13,3,2,3,323,Potential Loyalist
12625,207,4,5164.88,2,3,5,235,At Risk
12626,18,9,6620.48,5,5,5,555,Champions
12627,6,7,4478.53,5,4,5,545,Champions
12628,28,2,571.21,4,2,2,422,Recent Customers
12629,381,2,1558.22,2,2,4,224,Lost
12630,5,2,1270.88,5,2,4,524,Recent Customers
12631,52,6,3481.57,4,4,5,445,Champions
12632,516,2,804.88,1,2,3,123,Lost
12633,54,7,5678.16,4,4,5,445,Champions
12634,531,2,490,1,2,2,122,Lost
12635,85,4,2930.41,3,3,4,334,Loyal Customers
12636,734,1,141,1,1,1,111,Lost
12637,62,12,8340.31,3,5,5,355,Loyal Customers
12638,29,2,921.49,4,2,3,423,Recent Customers
12639,234,3,1312.37,2,3,4,234,At Risk
12640,19,3,1174.58,5,3,3,533,Loyal Customers
12641,110,1,185.9,3,1,1,311,Potential Loyalist
12642,20,3,1013.26,4,3,3,433,Loyal Customers
12643,124,12,8350.42,3,5,5,355,Loyal Customers
12644,125,4,1918.49,3,3,4,334,Loyal Customers
12645,29,8,3539.3,4,4,5,445,Champions
12646,45,1,731.69,4,1,3,413,Recent Customers
12647,18,36,17924.35,5,5,5,555,Champions
12648,150,4,1112,3,3,3,333,Loyal Customers
12649,102,8,2294.65,3,4,4,344,Loyal Customers
12651,330,4,377.75,2,3,2,232,At Risk
12652,326,2,1017.03,2,2,3,223,Lost
12653,144,3,4160.83,3,3,5,335,Loyal Customers
12654,6,5,601.98,5,4,2,542,Potential Loyalist
12655,419,1,261.35,1,1,1,111,Lost
12656,12,8,6407.83,5,4,5,545,Champions
12657,6,4,1643.18,5,3,4,534,Loyal Customers
12658,14,1,686.05,5,1,3,513,Recent Customers
12659,25,1,91.68,4,1,1,411,Recent Customers
12660,6,1,245.1,5,1,1,511,Recent Customers
12661,431,1,162,1,1,1,111,Lost
12662,18,19,6763.07,5,5,5,555,Champions
12663,620,2,239.4,1,2,1,121,Lost
12664,3,11,6070.04,5,5,5,555,Champions
12665,320,3,313.6,2,3,2,232,At Risk
12666,389,1,1248.42,2,1,4,214,Lost
12667,53,1,620.13,4,1,3,413,Recent Customers
12668,7,10,11444.68,5,5,5,555,Champions
12669,146,3,2744.03,3,3,4,334,Loyal Customers
12670,5,7,3760.29,5,4,5,545,Champions
12671,601,1,2622.48,1,1,4,114,Lost
12672,325,2,437.05,2,2,2,222,Lost
12673,322,2,840.4,2,2,3,223,Lost
12674,34,4,1970.6,4,3,4,434,Loyal Customers
12675,549,2,958.5,1,2,3,123,Lost
12676,20,11,2843.09,4,5,4,454,Champions
12677,550,2,395.1,1,2,2,122,Lost
12678,38,21,34281.18,4,5,5,455,Champions
12679,54,4,1113.02,4,3,3,433,Loyal Customers
12680,69,3,613.36,3,3,3,333,Loyal Customers
12681,10,45,30868.28,5,5,5,555,Champions
12682,4,51,23397.28,5,5,5,555,Champions
12683,45,19,11899.3,4,5,5,455,Champions
12684,3,7,2283.63,5,4,4,544,Champions
12685,23,6,2863.08,4,4,4,444,Champions
12686,367,1,178.28,2,1,1,211,Lost
12687,476,2,2138.91,1,2,4,124,Lost
12688,109,1,4873.81,3,1,5,315,Potential Loyalist
12689,21,2,1247.61,4,2,4,424,Recent Customers
12690,201,1,389.01,2,1,2,212,Lost
12691,23,7,1170.4,4,4,3,443,Loyal Customers
12692,632,1,110.95,1,1,1,111,Lost
12693,122,7,1703.02,3,4,4,344,Loyal Customers
12694,66,3,1843.35,3,3,4,334,Loyal Customers
12695,2,7,1407.12,5,4,4,544,Champions
12696,430,2,851.91,1,2,3,123,Lost
12697,24,3,957.59,4,3,3,433,Loyal Customers
12698,585,1,339.75,1,1,2,112,Lost
12699,413,1,638.11,1,1,3,113,Lost
12700,3,4,4939.99,5,3,5,535,Loyal Customers
12701,75,6,2446.41,3,4,4,344,Loyal Customers
12702,15,1,219,5,1,1,511,Recent Customers
12703,66,4,1006.53,3,3,3,333,Loyal Customers
12704,3,8,2340.84,5,4,4,544,Champions
12705,10,14,11762.1,5,5,5,555,Champions
12707,287,1,603.42,2,1,2,212,Lost
12708,25,18,5314.1,4,5,5,455,Champions
12709,10,34,31093.34,5,5,5,555,Champions
12710,92,3,1149.02,3,3,3,333,Loyal Customers
12711,607,2,1339.05,1,2,4,124,Lost
12712,24,21,7193.66,4,5,5,455,Champions
12714,4,12,14093.71,5,5,5,555,Champions
12715,101,1,353.86,3,1,2,312,Potential Loyalist
12716,128,1,677.9,3,1,3,313,Potential Loyalist
12717,146,3,1308.91,3,3,4,334,Loyal Customers
12718,66,1,238.25,3,1,1,311,Potential Loyalist
12719,60,1,283.6,3,1,1,311,Potential Loyalist
12720,10,29,7878.2,5,5,5,555,Champions
12721,27,8,4013.08,4,4,5,445,Champions
12722,80,4,997.63,3,3,3,333,Loyal Customers
12723,11,4,647.79,5,3,3,533,Loyal Customers
12724,77,6,2109.28,3,4,4,344,Loyal Customers
12725,366,4,2694.56,2,3,4,234,At Risk
12726,23,11,4014.6,4,5,5,455,Champions
12727,6,10,5679.53,5,5,5,555,Champions
12728,66,5,1070.17,3,4,3,343,Loyal Customers
12729,109,1,453.01,3,1,2,312,Potential Loyalist
12730,517,1,829.25,1,1,3,113,Lost
12731,19,17,25775.71,5,5,5,555,Champions
12732,175,1,236.26,3,1,1,311,Potential Loyalist
12733,229,4,2424.87,2,3,4,234,At Risk
12734,348,3,639.65,2,3,3,233,At Risk
12735,310,2,779.57,2,2,3,223,Lost
12736,328,1,234,2,1,1,211,Lost
12737,494,2,3710.5,1,2,5,125,Lost
12738,367,1,310.7,2,1,2,212,Lost
12739,74,4,2726.73,3,3,4,334,Loyal Customers
12740,59,1,427.6,4,1,2,412,Recent Customers
12741,524,2,406.07,1,2,2,122,Lost
12742,621,1,1201.52,1,1,3,113,Lost
12743,129,2,546.43,3,2,2,322,Potential Loyalist
12744,47,11,25317.06,4,5,5,455,Champions
12745,482,3,925.41,1,3,3,133,At Risk
12746,536,1,254.55,1,1,1,111,Lost
12747,17,25,8838.04,5,5,5,555,Champions
12748,1,331,55844.23,5,5,5,555,Champions
12749,18,8,6134.3,5,4,5,545,Champions
12750,124,1,275.88,3,1,1,311,Potential Loyalist
12751,440,1,268.27,1,1,1,111,Lost
12752,76,1,4366.78,3,1,5,315,Potential Loyalist
12753,18,6,21429.39,5,4,5,545,Champions
12754,231,3,3010.74,2,3,5,235,At Risk
12755,276,11,9030.66,2,5,5,255,At Risk
12756,82,1,112.08,3,1,1,311,Potential Loyalist
12757,11,13,7857.1,5,5,5,555,Champions
12758,112,7,9903.24,3,4,5,345,Loyal Customers
12759,47,8,5020.74,4,4,5,445,Champions
12760,451,1,347.8,1,1,2,112,Lost
12761,453,2,782.95,1,2,3,123,Lost
12762,3,2,1898.52,5,2,4,524,Recent Customers
12763,133,2,814.16,3,2,3,323,Potential Loyalist
12764,312,1,1693.88,2,1,4,214,Lost
12765,467,6,1404.58,1,4,4,144,At Risk
12766,53,8,9349.85,4,4,5,445,Champions
12767,371,1,949.82,2,1,3,213,Lost
12768,446,1,168.69,1,1,1,111,Lost
12769,234,1,1143.6,2,1,3,213,Lost
12770,206,2,3246.45,2,2,5,225,Lost
12771,481,1,282.3,1,1,1,111,Lost
12772,55,1,892.47,4,1,3,413,Recent Customers
12773,559,1,124.25,1,1,1,111,Lost
12774,531,1,98.7,1,1,1,111,Lost
12775,12,7,1686.12,5,4,4,544,Champions
12776,663,1,55.5,1,1,1,111,Lost
12777,453,1,519.45,1,1,2,112,Lost
12778,15,9,1775.68,5,5,4,554,Champions
12779,33,14,6722.27,4,5,5,455,Champions
12780,594,1,337.4,1,1,2,112,Lost
12781,59,2,826.74,4,2,3,423,Recent Customers
12782,145,10,4365.99,3,5,5,355,Loyal Customers
12783,28,5,1825.33,4,4,4,444,Champions
12784,4,3,1804.75,5,3,4,534,Loyal Customers
12785,359,3,1100.4,2,3,3,233,At Risk
12786,605,1,728.5,1,1,3,113,Lost
12787,5,4,862.18,5,3,3,533,Loyal Customers
12788,458,4,444.9,1,3,2,132,At Risk
12789,60,3,273.35,3,3,1,331,Potential Loyalist
12790,187,2,591.85,3,2,2,322,Potential Loyalist
12791,369,6,1056.11,2,4,3,243,At Risk
12792,252,2,827.01,2,2,3,223,Lost
12793,330,3,1017.33,2,3,3,233,At Risk
12794,48,2,860.41,4,2,3,423,Recent Customers
12795,14,1,430.48,5,1,2,512,Recent Customers
12796,623,1,381,1,1,2,112,Lost
12797,361,2,806.11,2,2,3,223,Lost
12798,5,4,8510.93,5,3,5,535,Loyal Customers
12799,524,1,219.35,1,1,1,111,Lost
12800,465,3,584.25,1,3,2,132,At Risk
12801,496,1,1071.82,1,1,3,113,Lost
12802,182,7,2416.42,3,4,4,344,Loyal Customers
12803,388,1,1092.81,2,1,3,213,Lost
12804,461,2,327.02,1,2,2,122,Lost
12805,377,4,1434.95,2,3,4,234,At Risk
12806,430,4,2878.96,1,3,4,134,At Risk
12807,378,1,330.35,2,1,2,212,Lost
12808,32,5,906.1,4,4,3,443,Loyal Customers
12809,173,3,1755.94,3,3,4,334,Loyal Customers
12810,530,2,534.99,1,2,2,122,Lost
12811,256,5,1033.9,2,4,3,243,At Risk
12812,40,1,229.64,4,1,1,411,Recent Customers
12813,497,3,1687.8,1,3,4,134,At Risk
12814,97,1,125.92,3,1,1,311,Potential Loyalist
12815,143,2,1063.46,3,2,3,323,Potential Loyalist
12816,91,2,572.2,3,2,2,322,Potential Loyalist
12817,276,3,690.98,2,3,3,233,At Risk
12818,257,1,1542.08,2,1,4,214,Lost
12819,453,1,540.52,1,1,2,112,Lost
12820,39,10,2479.17,4,5,4,454,Champions
12821,209,2,220.8,2,2,1,221,Lost
12822,66,2,948.88,3,2,3,323,Potential Loyalist
12823,70,18,6501.5,3,5,5,355,Loyal Customers
12824,55,1,397.12,4,1,2,412,Recent Customers
12825,516,2,518.63,1,2,2,122,Lost
12826,24,11,2813.15,4,5,4,454,Champions
12827,1,3,430.15,5,3,2,532,Potential Loyalist
12828,3,5,935.09,5,4,3,543,Loyal Customers
12829,332,3,385.3,2,3,2,232,At Risk
12830,33,6,6814.64,4,4,5,445,Champions
12831,258,3,451.11,2,3,2,232,At Risk
12832,27,2,383.03,4,2,2,422,Recent Customers
12833,140,1,417.38,3,1,2,312,Potential Loyalist
12834,278,1,312.38,2,1,2,212,Lost
12835,423,41,6043.31,1,5,5,155,At Risk
12836,54,15,6585.62,4,5,5,455,Champions
12837,168,2,688.41,3,2,3,323,Potential Loyalist
12838,29,10,3398.48,4,5,5,455,Champions
12839,7,25,9319.34,5,5,5,555,Champions
12840,139,7,4041.97,3,4,5,345,Loyal Customers
12841,10,38,7389.67,5,5,5,555,Champions
12842,65,4,1917.99,3,3,4,334,Loyal Customers
12843,61,30,6588.41,3,5,5,355,Loyal Customers
12844,24,4,648.6,4,3,3,433,Loyal Customers
12845,262,4,354.09,2,3,2,232,At Risk
12846,677,1,15.58,1,1,1,111,Lost
12847,17,2,1636.9,5,2,4,524,Recent Customers
12848,671,1,208,1,1,1,111,Lost
12849,26,6,3090.56,4,4,5,445,Champions
12850,441,1,330,1,1,2,112,Lost
12851,92,2,284.13,3,2,1,321,Potential Loyalist
12852,290,1,311.55,2,1,2,212,Lost
12853,130,11,3907.5,3,5,5,355,Loyal Customers
12854,74,7,2994.02,3,4,5,345,Loyal Customers
12855,368,4,650.94,2,3,3,233,At Risk
12856,3,6,2179.93,5,4,4,544,Champions
12857,206,6,3688,2,4,5,245,At Risk
12858,379,1,177.92,2,1,1,211,Lost
12859,454,1,575.1,1,1,2,112,Lost
12860,688,1,55.47,1,1,1,111,Lost
12861,615,1,68.25,1,1,1,111,Lost
12862,421,2,1008.32,1,2,3,123,Lost
12863,47,6,2792.55,4,4,4,444,Champions
12864,134,2,299.57,3,2,2,322,Potential Loyalist
12865,21,4,3323.47,4,3,5,435,Loyal Customers
12866,278,3,1227.35,2,3,3,233,At Risk
12867,21,13,7913.29,4,5,5,455,Champions
12868,181,8,2247.06,3,4,4,344,Loyal Customers
12869,677,1,337.67,1,1,2,112,Lost
12870,370,3,1676.95,2,3,4,234,At Risk
12871,79,3,744.02,3,3,3,333,Loyal Customers
12872,322,12,3685.49,2,5,5,255,At Risk
12873,277,3,2027.3,2,3,4,234,At Risk
12874,380,2,948.42,2,2,3,223,Lost
12875,138,5,1356.99,3,4,4,344,Loyal Customers
12876,53,4,4081.79,4,3,5,435,Loyal Customers
12877,19,19,2855.51,5,5,4,554,Champions
12878,232,2,854.99,2,2,3,223,Lost
12879,40,3,573.22,4,3,2,432,Potential Loyalist
12880,377,2,640.13,2,2,3,223,Lost
12881,271,1,298,2,1,2,212,Lost
12882,4,2,1463.04,5,2,4,524,Recent Customers
12883,20,4,703.47,4,3,3,433,Loyal Customers
12884,84,1,309.05,3,1,2,312,Potential Loyalist
12885,58,3,1175.22,4,3,3,433,Loyal Customers
12886,63,2,1378.4,3,2,4,324,Potential Loyalist
12887,379,1,222.4,2,1,1,211,Lost
12888,209,2,354.12,2,2,2,222,Lost
12889,376,4,385.46,2,3,2,232,At Risk
12890,19,2,717.27,5,2,3,523,Recent Customers
12891,181,11,840.5,3,5,3,353,Loyal Customers
12892,392,1,263.38,2,1,1,211,Lost
12893,26,1,188.14,4,1,1,411,Recent Customers
12894,570,1,157.35,1,1,1,111,Lost
12895,37,2,372.8,4,2,2,422,Recent Customers
12897,200,4,514.25,2,3,2,232,At Risk
12898,459,2,310.96,1,2,2,122,Lost
12899,409,1,366.4,1,1,2,112,Lost
12900,417,1,340.33,1,1,2,112,Lost
12901,4,28,17654.54,5,5,5,555,Champions
12902,260,1,138.68,2,1,1,211,Lost
12903,424,1,833.53,1,1,3,113,Lost
12904,13,2,509.58,5,2,2,522,Recent Customers
12905,572,2,1018.42,1,2,3,123,Lost
